n_inmuebles;titulo;distrito;area;cuartos;aseos;latitud;longitud;precio;
0;Departamento en Venta Jr. Villa Real De Los Infantes, La Molina, Lima;La Molina;73.0;3.0;2.0;-12.1039984;-76.93701799999997;105000.0;
1;Departamento en Venta Cerros De Camacho, Santiago De Surco, Lima;Santiago de Surco;485.0;3.0;3.0;-12.085336400000001;-76.96179959999999;780000.0;
2;Departamento en Venta Av. Angamos Oeste, Miraflores, Lima;Miraflores;170.0;3.0;2.0;-12.110545162448016;-77.04495618576658;495000.0;
3;Duplex en Venta Avda. Los Ingenieros, Santiago De Surco, Lima;Santiago de Surco;270.0;3.0;3.0;-12.126844199999999;-76.97266460000003;409000.0;
4;Departamento en Venta Calle Isaac Alberniz 2xx San Borja, San Borja, Lima;San Borja;97.0;2.0;2.0;-12.103221000000001;-77.00104679999998;168000.0;
5;Departamento en Venta Cruz Del Sur, Santiago De Surco, Lima;Santiago de Surco;226.0;3.0;3.0;-12.087420104888206;-76.96947525078734;374000.0;
6;Departamento en Venta Malecón Los Corales, Playa Los Pulpos, Lurin, Lima;Lurin;108.0;3.0;3.0;-12.3118717423349;-76.84200893121341;110000.0;
7;Departamento en Venta Urb. Barrio Medico, Surquillo, Lima;Surquillo;101.0;4.0;3.0;-12.11770678602507;-77.01415190842897;160000.0;
8;Departamento en Venta Calle Miguel Aljovin, Miraflores, Lima;Miraflores;152.0;3.0;2.5;-12.1284897;-77.01534029999998;389000.0;
9;Departamento en Venta Malecón Pazos N°1xx, Dpto. 801 B, Urb. Pazos, Barranco, Lima;Barranco;270.0;3.0;3.5;-12.1437266;-77.01902280000002;930000.0;
10;Departamento en Venta Av.pezet Con Alvarez Calderon. San Isidro, San Isidro, Lima;San Isidro;206.0;3.0;3.0;-12.1030104;-77.04675900000002;700000.0;
11;Departamento en Venta Jr. Monte Carmelo, Santiago De Surco, Lima;Santiago de Surco;230.0;4.0;3.0;-12.1193601;-76.98577549999997;379000.0;
12;Duplex en Venta Calle Julio Verne 144, Santiago De Surco, Lima;Santiago de Surco;117.0;4.0;4.5;-12.1247452;-76.99808329999995;246000.0;
13;Departamento en Venta Madre Selva, Santiago De Surco, Lima;Santiago de Surco;277.0;4.0;4.0;-12.1182808;-76.97414479999998;550000.0;
14;Departamento en Venta Calle Triana Esquina Santa Cruz, Miraflores, Lima;Miraflores;206.0;3.0;3.0;-12.115320116317749;-77.04069869311526;639964.0;
15;Departamento en Venta Calle Las Laderas N°6xx, Dpto. 102, Urb. Casuarinas, Santiago De Surco, Lima;Santiago de Surco;242.0;3.0;2.5;-12.1416088;-76.99181550000003;600000.0;
16;Departamento en Venta Av.pezet Con Alvarez Calderon. San Isidro, San Isidro, Lima;San Isidro;630.0;4.0;3.0;-12.1030104;-77.04675900000002;2550000.0;
17;Departamento en Venta Parque De Los Cerezos, Santiago De Surco, Lima;Santiago de Surco;147.0;3.0;3.0;-12.1416088;-76.99181550000003;215000.0;
18;Departamento en Venta Santiago De Surco, Lima;Santiago de Surco;321.0;3.0;3.0;-12.091694500000001;-76.96471109999997;760000.0;
19;Departamento en Venta Malecón Malecon De La Marina N°11xx, Dpto. 1702 C, Miraflores, Lima;Miraflores;220.0;3.0;2.0;-12.1116791;-77.05120690000003;469600.0;
20;Departamento en Venta Pezet, San Gabriel, San Isidro;San Isidro;560.0;4.0;6.0;-12.103562599999998;-77.04277370000001;3800000.0;
21;Duplex en Venta Alguaciles, Santiago De Surco, Lima;Santiago de Surco;214.0;3.0;4.0;-12.1416088;-76.99181550000003;220000.0;
22;Departamento en Venta Malecón De La Marina N°11xx, Dpto. 1702 C, Miraflores, Lima;Miraflores;220.0;2.0;3.0;-12.113242199999998;-77.0494577;469600.0;
23;Duplex en Venta San Isidro, Lima;San Isidro;409.0;3.0;3.0;-12.09067;-77.05003540000001;680000.0;
24;Departamento en Venta Paseo De La Republica, Barranco, Lima;Barranco;93.0;3.0;3.0;-12.135838699999999;-77.0179152;179112.0;
25;Departamento en Venta Malecon Cisneros 12xx, Miraflores, Miraflores, Lima;Miraflores;229.0;3.0;3.5;-12.124888499999999;-77.03714869999997;670000.0;
26;Departamento en Venta Esquina Mar Coral Y Mar Peruano - Urb. Neptuno - Sujrco, Santiago De Surco, Lima;Santiago de Surco;221.0;3.0;3.0;-12.082885810346895;-76.97549694035355;435000.0;
27;Departamento en Venta Coopertativa Cesar Vallejo Mz.  Lt.18, San Martin De Porres, Lima;San Martin de Porres;68.0;2.0;1.0;-12.014458486409502;-77.08539747984945;63000.0;
28;Duplex en Venta Av. Arnaldo Marquéz Cda. 20, Jesus Maria, Lima;Jesus Maria;200.0;3.0;3.0;-12.081890379840445;-77.05583034294432;380000.0;
29;Duplex en Venta Jr. Las Esmeraldas 372 Balconcillo, La Victoria, La Victoria, Lima;La Victoria;96.0;2.0;2.0;-12.080482788259802;-77.0247013074707;75000.0;
30;Duplex en Venta Cerca Estacion De Bomberos Olaya 1, Chorrillos, Lima;Chorrillos;192.0;3.0;2.0;-12.1646235;-77.02470399999999;260000.0;
31;Departamento en Venta Calle Manet, Surquillo, Espalda Neoplasicas, Surquillo, Lima;Surquillo;135.0;3.0;3.5;-12.114077933026786;-76.99810513862303;169900.0;
32;Departamento en Venta Malecon Grau, Chorrillos, Lima;Chorrillos;218.0;3.0;3.0;-12.1655929;-77.02588309999999;468000.0;
