n_inmueble;area;cuartos;aseos;precio;distrito;n_school;dist_nearest_school;n_hospital;dist_nearest_hosp;n_malls;dist_nearest_mall;n_rest;dist_nearest_rest;n_supermarket;dist_nearest_super;n_bank;dist_nearest_bank
0;73.0;3.0;2.0;105000.0;La Molina;12;0.22245718628123304;1;0.21883305388558194;4;0.4701366148556525;18;0.3062135453681572;0;1.080419002869902;1;0.1761077422703999
1;485.0;3.0;3.0;780000.0;Santiago de Surco;3;0.3038854901536355;1;0.1366172409645032;0;0.8049787560228809;8;0.12254718110157092;0;0.7898847977311493;0;0.7128769188269175
2;170.0;3.0;2.0;495000.0;Miraflores;32;0.054029994147634916;12;0.19756232691177794;5;0.4109084041871881;60;0.14593543386926405;6;0.3300641305483594;13;0.4401543455819673
3;270.0;3.0;3.0;409000.0;Santiago de Surco;23;0.17944068837742114;1;0.5015557484407533;5;0.12687991872255971;10;0.24547529833612236;1;0.2560009981339373;3;0.2409874359525095
4;97.0;2.0;2.0;168000.0;San Borja;45;0.05759097840381845;9;0.16185579673350728;14;0.13820184696321394;60;0.045394874388044036;3;0.03625067067214868;10;0.036770093772228944
5;226.0;3.0;3.0;374000.0;Santiago de Surco;29;0.09076814985977948;2;0.5678174426567911;6;0.44034464113504057;45;0.18540643811861127;0;0.7342194214374775;3;0.4339851829009694
6;108.0;3.0;3.0;110000.0;Lurin;1;0.15490239872566525;0;1.705502811744344;2;0.5724665333163087;24;0.1592074567299473;0;1.4733168127990297;0;1.6204569383108491
7;101.0;4.0;3.0;160000.0;Surquillo;34;0.15278636019828934;4;0.3060923390676448;31;0.02755650725113553;60;0.2663809552992311;4;0.4877142955929974;23;0.4004472953315443
8;152.0;3.0;2.5;389000.0;Miraflores;42;0.20536716800380853;8;0.23363517188091865;6;0.5026213112414781;60;0.20758405692959112;7;0.2923987592133533;23;0.18966455667642995
9;270.0;3.0;3.5;930000.0;Barranco;60;1.3829906075911351e-12;7;0.14018691609288622;9;0.12658543989351242;60;1.3829906075911351e-12;5;0.21222278681094112;14;0.0420563397507221
10;206.0;3.0;3.0;700000.0;San Isidro;10;0.07901768449452261;2;0.07804085735857601;0;0.8657848845807896;18;0.4497306506276356;3;0.29322326651440483;6;0.06881263394300982
11;230.0;4.0;3.0;379000.0;Santiago de Surco;35;0.09007469487225099;2;0.6181509710578524;1;0.5042543873216188;19;0.25999878309880226;2;0.21278180414436124;2;0.3775820518410995
12;117.0;4.0;4.5;246000.0;Santiago de Surco;60;0.09969273390146427;6;0.16192244622748686;33;0.1688871701714783;60;0.11265977513093316;4;0.4487008960808477;24;0.11882689374078688
13;277.0;4.0;4.0;550000.0;Santiago de Surco;24;0.20435134213539285;1;0.4111640734248451;2;0.5528414620319589;4;0.3312900291542308;2;0.05419646792274862;0;0.901779598521452
14;206.0;3.0;3.0;639964.0;Miraflores;48;0.03644924421670377;14;0.3276501003498345;21;0.12570316320188746;60;0.10601830847357167;3;0.4437011722292286;14;0.4422041719993528
15;242.0;3.0;2.5;600000.0;Santiago de Surco;39;0.04959366384795271;3;0.04302556593405275;10;4.149004819206899e-12;60;4.149004819206899e-12;6;0.2257176690131484;6;0.03172496623752349
16;630.0;4.0;3.0;2550000.0;San Isidro;10;0.07901768449452261;2;0.07804085735857601;0;0.8657848845807896;18;0.4497306506276356;3;0.29322326651440483;6;0.06881263394300982
17;147.0;3.0;3.0;215000.0;Santiago de Surco;39;0.04959366384795271;3;0.04302556593405275;10;4.149004819206899e-12;60;4.149004819206899e-12;6;0.2257176690131484;6;0.03172496623752349
18;321.0;3.0;3.0;760000.0;Santiago de Surco;14;0.3218799699735073;1;0.6682364585735223;1;0.4583235476333215;15;0.3662811413140844;1;0.4352907307125856;0;0.8437940068032747
19;220.0;3.0;2.0;469600.0;Miraflores;16;0.18057171206859296;9;0.18553698477158076;1;0.2275969750591857;60;0.15507220347614886;5;0.14798261910476634;6;0.4087524578174923
20;560.0;4.0;6.0;3800000.0;San Isidro;17;0.3670027555218057;3;0.3820294858727745;8;0.4820152307694447;48;0.3588172109078545;3;0.5243951278088138;25;0.3618082786881936
21;214.0;3.0;4.0;220000.0;Santiago de Surco;39;0.04959366384795271;3;0.04302556593405275;10;4.149004819206899e-12;60;4.149004819206899e-12;6;0.2257176690131484;6;0.03172496623752349
22;220.0;2.0;3.0;469600.0;Miraflores;19;0.02227459106418461;7;0.11597756502620173;3;0.28371878064810896;60;0.13981211451600312;5;0.3024069550738165;7;0.1984150519153789
23;409.0;3.0;3.0;680000.0;San Isidro;58;0.04278157436467499;12;0.5499663040868288;18;0.2238793085601117;60;0.08727244055732426;5;0.24811860834517716;33;0.21614490393786204
24;93.0;3.0;3.0;179112.0;Barranco;50;0.12215062310888553;2;0.2863892327784271;3;0.42723810597254375;60;0.044789910540651054;8;0.12594493926105976;7;0.12655644359775822
25;229.0;3.0;3.5;670000.0;Miraflores;44;0.07504328138638501;10;0.28133036871805184;12;0.2950144631211376;60;4.149265131192519e-12;3;0.4910270261681835;8;0.2874735121607889
26;221.0;3.0;3.0;435000.0;Santiago de Surco;41;0.12284242494586158;1;0.3138434217595593;15;0.24161525450614305;60;0.13205745840257713;5;0.16164841836569593;16;0.2279846058231883
27;68.0;2.0;1.0;63000.0;San Martin de Porres;52;0.04534495480680064;3;0.3702009580209792;3;0.1810705660204894;60;0.16203508206769485;4;0.15370796561378813;2;0.4812482605091609
28;200.0;3.0;3.0;380000.0;Jesus Maria;60;0.011013928340611913;28;0.10609567435985176;6;0.07153068411247586;60;0.07468546896291949;4;0.5141970286237053;14;0.3731601203467778
29;96.0;2.0;2.0;75000.0;La Victoria;54;0.015602469887433256;3;0.33529560022721666;26;0.15150795670629366;60;0.017590988942215783;6;0.2002019409468994;9;0.21048219661788325
30;192.0;3.0;2.0;260000.0;Chorrillos;46;0.06692875223768327;9;0.2252560431187629;9;0.3020596642376888;60;0.1535786414607355;3;0.39475427774269456;10;0.3382108008577745
